Year,Month,Incident
1980,1,22355
1980,2,20044
1980,3,20228
1980,4,23962
1980,5,25112
1980,6,29580
1980,7,31731
1980,8,41410
1980,9,18064
1980,10,37299
1980,11,24028
1980,12,43998
1981,1,27924
1981,2,20990
1981,3,26709
1981,4,22862
1981,5,23709
1981,6,16831
1981,7,33573
1981,8,26354
1981,9,25981
1981,10,23977
1981,11,27453
1981,12,12360
1982,1,20367
1982,2,17779
1982,3,20096
1982,4,19198
1982,5,26519
1982,6,23859
1982,7,25200
1982,8,22643
1982,9,27387
1982,10,25263
1982,11,17124
1982,12,11294
1983,1,18714
1983,2,14819
1983,3,23076
1983,4,25147
1983,5,24122
1983,6,15488
1983,7,26072
1983,8,23837
1983,9,24613
1983,10,21150
1983,11,17374
1983,12,43170
1984,1,17356
1984,2,14171
1984,3,14984
1984,4,16101
1984,5,15942
1984,6,14042
1984,7,14812
1984,8,16310
1984,9,16777
1984,10,13581
1984,11,19664
1984,12,31966
1985,1,16100
1985,2,14109
1985,3,14679
1985,4,14625
1985,5,11584
1985,6,15137
1985,7,21382
1985,8,18761
1985,9,15411
1985,10,16378
1985,11,15631
1985,12,11190
1986,1,20177
1986,2,15129
1986,3,22684
1986,4,22696
1986,5,18437
1986,6,18933
1986,7,27948
1986,8,25447
1986,9,24553
1986,10,19686
1986,11,9318
1986,12,9796
1987,1,15189
1987,2,17641
1987,3,17671
1987,4,17100
1987,5,20282
1987,6,24067
1987,7,22592
1987,8,17382
1987,9,19805
1987,10,17787
1987,11,28602
1987,12,10755
1988,1,23740
1988,2,19116
1988,3,17616
1988,4,16806
1988,5,23988
1988,6,21677
1988,7,31805
1988,8,35438
1988,9,29621
1988,10,28063
1988,11,21201
1988,12,11630
1989,1,22564
1989,2,20004
1989,3,21598
1989,4,22525
1989,5,22851
1989,6,27366
1989,7,31166
1989,8,32005
1989,9,37634
1989,10,29668
1989,11,13064
1989,12,15181
1990,1,37175
1990,2,22341
1990,3,31588
1990,4,24761
1990,5,31934
1990,6,36890
1990,7,38585
1990,8,39134
